"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff","nAA.down","nAA.up","nAA.diff"
GTR+08,"PCa / BPH",,35,29,-0.1163,-0.1479,-0.0316,-0.7562,-0.7525,0.0037,5.1212,2.625,-2.4962,4.8235,3.8846,-0.9389,432,282,-150
KPB+10_localized,"PCa / adjacent benign",,68,69,-0.1163,-0.1338,-0.0175,-0.7565,-0.7481,0.0085,4.2419,3.8333,-0.4086,4.3881,4.4783,0.0902,425.5,301,-124.5
HZH+12_Protein,"PCa / adjacent benign Protein",,22,37,-0.1369,-0.1517,-0.0147,-0.7798,-0.7525,0.0273,3.1053,2.4839,-0.6214,3.7619,3.0588,-0.7031,377,427,50
JHZ+13,"PCa / adjacent benign",,23,36,-0.1246,-0.147,-0.0225,-0.7971,-0.7685,0.0286,3.25,2.2812,-0.9688,3.9545,2.8235,-1.131,386,458,72
LCS+14,"glycoproteins PCa / normal",,82,138,-0.1259,-0.1339,-0.0081,-0.8046,-0.7944,0.0102,5.625,4.4331,-1.1919,5.3902,4.8768,-0.5134,684,578.5,-105.5
CZL+16,"protein expression bioinformatics",,74,157,-0.1018,-0.1429,-0.0411,-0.7441,-0.7534,-0.0093,5.2754,3.7703,-1.5051,4.9565,4.109,-0.8475,449.5,394,-55.5
IWT+16,"FFPE tumor / adjacent benign",,223,426,-0.1152,-0.1422,-0.0269,-0.7709,-0.7365,0.0344,3.4125,2.2235,-1.189,4.1667,3.6489,-0.5177,340,562,222
GLZ+18_acinar,"acinar PCa / matched BPH",,87,114,-0.1167,-0.1499,-0.0332,-0.7707,-0.7392,0.0314,6.3373,2.486,-3.8514,5.3333,3.7632,-1.5702,482,423,-59
GLZ+18_ductal,"ductal PCa / matched BPH",,347,303,-0.1167,-0.1496,-0.0328,-0.7627,-0.7517,0.011,4.4551,2.4655,-1.9897,4.8617,3.7715,-1.0901,507,444,-63
LAJ+18_PC,"PC / BPH",,273,220,-0.1163,-0.1517,-0.0354,-0.7582,-0.7378,0.0204,5.5316,2.6418,-2.8899,5.3787,3.8318,-1.5469,323,433,110
LAJ+18_CRPC,"CRPC / BPH",,313,193,-0.1212,-0.1466,-0.0255,-0.7591,-0.7361,0.023,4.6978,2.7029,-1.995,4.984,3.7772,-1.2068,375,382,7
MAN+18,"PCa / BPH",,44,33,-0.141,-0.1375,0.0034,-0.7233,-0.7512,-0.0279,4.575,4.8966,0.3216,4.3902,4.6333,0.2431,291.5,327,35.5
KRN+19_G1,"PCa G1 / BPH",,32,43,-0.122,-0.1457,-0.0237,-0.7419,-0.714,0.0279,3.9259,2.475,-1.4509,4.5806,3.4884,-1.0923,337,404,67
KRN+19_G2,"PCa G2 / BPH",,30,22,-0.122,-0.1605,-0.0385,-0.7533,-0.7435,0.0098,4.4167,2.5714,-1.8452,4.5862,3.6364,-0.9498,331.5,543.5,212
KRN+19_G3,"PCa G3 / BPH",,43,24,-0.1224,-0.1584,-0.036,-0.7546,-0.7264,0.0282,4.5526,1.8636,-2.689,4.881,3.375,-1.506,345,534,189
KRN+19_G4,"PCa G4 / BPH",,44,51,-0.1283,-0.1475,-0.0192,-0.7362,-0.714,0.0222,4.6053,2.2083,-2.3969,4.7907,3.3333,-1.4574,337,394,57
KRN+19_G5,"PCa G5 / BPH",,22,24,-0.1306,-0.1457,-0.0151,-0.7573,-0.7086,0.0488,5.7143,3.0952,-2.619,4.9524,3.5417,-1.4107,279,326,47
MMF+20_GS6,"FFPE PCa / adjacent benign GS=6",,40,136,-0.1243,-0.14,-0.0156,-0.7206,-0.7545,-0.0339,4.6757,2.8571,-1.8185,4.5128,3.5448,-0.968,463,322,-141
MMF+20,"FFPE PCa / adjacent benign GS=6 and GS>=8",,37,143,-0.1358,-0.1364,-6e-04,-0.7463,-0.7495,-0.0031,3.9118,3.1562,-0.7555,4.25,3.6596,-0.5904,354,372,18
TOT+19,"FFPE TMA PCa / normal",,36,86,-0.1089,-0.1405,-0.0316,-0.7628,-0.7295,0.0332,4.5312,2.3684,-2.1628,5.1389,3.5412,-1.5977,583.5,357.5,-226
ZYW+19_LG,"OCT LG PCa / adjacent normal",,143,54,-0.0992,-0.1423,-0.043,-0.7778,-0.7709,0.0069,5.3733,2.1071,-3.2662,5.1625,3.5938,-1.5687,610,469,-141
ZYW+19_HG,"OCT HG PCa / adjacent normal",,215,94,-0.1205,-0.1379,-0.0173,-0.7667,-0.7237,0.043,4.9626,2.7292,-2.2335,4.693,3.8824,-0.8106,540,331.5,-208.5
KHN+20,"PCa / control",,227,125,-0.1257,-0.145,-0.0193,-0.7795,-0.7412,0.0383,5.8889,2.3421,-3.5468,4.981,3.4375,-1.5435,264,311,47
LDM+20,"PCa / BPH",,73,72,-0.1227,-0.1425,-0.0198,-0.7795,-0.7337,0.0458,4.0328,2.9524,-1.0804,4.7083,3.7083,-1,445,446.5,1.5
SHC+20,"FFPE PCa / BPH",,58,308,-0.1083,-0.1421,-0.0338,-0.7628,-0.7262,0.0366,4.75,2.9638,-1.7862,5.3621,3.7443,-1.6178,606,360.5,-245.5
