Swiss.ID,Gene,AD.NC.FC,AD.NC.FDR,AC.AD.FC,AC.AD.FDR,AC.NC.FC,AC.NC.FDR
Q6UWM9,UGT2A3,0.2,0,0.45,0.001,0.09,0
O75795,UGT2B17,0.21,0,0.55,0,0.11,0
Q9UBC5,MYO1A,0.27,0,0.64,0,0.17,0
P09467,FBP1,0.34,0,0.46,0,0.16,0
Q02318,CYP27A1,0.37,0,0.51,0,0.19,0
Q9NRV9,HEBP1,0.37,0,0.51,0.001,0.19,0
Q8WWA0,ITLN1,0.38,0,0.46,0,0.18,0
P20774,OGN,0.39,0,0.38,0,0.15,0
P00326,ADH1C,0.41,0,0.38,0,0.16,0
Q07654,TFF3,0.42,0,0.3,0,0.13,0
Q9Y6R7,FCGBP,0.46,0,0.62,0,0.28,0
P00167,CYB5A,0.47,0,0.6,0,0.28,0
Q9BYZ8,REG4,0.48,0,0.46,0,0.22,0
A8K7I4,CLCA1,0.48,0,0.34,0,0.17,0
Q16822,PCK2,0.49,0,0.6,0,0.29,0
Q9NW15,ANO10,0.51,0,0.63,0,0.32,0
P05023,ATP1A1,0.55,0,0.63,0,0.35,0
Q969Z3,MOSC2,0.55,0,0.5,0,0.27,0
P09601,HMOX1,0.57,0,0.44,0,0.25,0
P27338,MAOB,0.57,0,0.33,0,0.19,0
O75356,ENTPD5,0.57,0.001,0.48,0,0.28,0
Q9Y2Y8,PRG3,0.59,0,0.44,0,0.26,0
P21397,MAOA,0.59,0,0.32,0,0.19,0
Q9NR30,DDX21,1.51,0,1.51,0,2.28,0
Q07666,KHDRBS1,1.51,0,1.56,0,2.36,0
P21810,BGN,1.51,0,2,0,3.04,0
O43852,CALU,1.56,0,1.66,0,2.58,0
Q9BRJ6,C7orf50,1.56,0,1.68,0,2.63,0
P07996,THBS1,1.56,0,2.29,0,3.57,0
